Date,Filename,Topic,Status
2026-05-02,content/Anthropic_Update_2026-05-02.md,Claude Inline Charts & Visualizations,Auto-Queue
2026-05-02,Synthesia,content/Synthesia_2026-05-02.md,Published
2026-05-03,CustomGPT.ai,content/CustomGPT.ai_2026-05-03.md,Published
2026-05-04,Munch,content/Munch_2026-05-04.md,Published
2026-05-05,Pictory AI,content/pictory_ai_2026-05-05.md,Published
2026-05-06,Murf AI,content/Murf_AI_2026-05-06.md,Published
2026-05-07,ElevenLabs,content/ElevenLabs_2026-05-07.md,Published
superhuman-ai,Superhuman AI,Auto-Queue
klu,Klu,Auto-Queue
make-ai,Make AI,Auto-Queue
deepgram,Deepgram,Auto-Queue
cartesia-sonic,Cartesia Sonic,Auto-Queue
"2026-05-08","Munch","content/Munch_2026-05-08.md","Published"
2026-05-09,content/Anthropic_Update_2026-05-09.md,Anthropic Finance Agent Templates,Auto-Queue
2026-05-09,Pictory,content/Pictory_2026-05-09.md,Published
2026-05-10,Pollo AI,content/Pollo_AI_2026-05-10.md,Published
2026-05-11,Munch,content/Munch_2026-05-11.md,Published
2026-05-12,Breaking: OpenAI Drops GPT-5.5 Instant,OpenAI/ChatGPT Update,Auto-Queue
2026-05-12,Perplexity AI,content/Perplexity_AI_2026-05-12.md,Published
2026-05-13,ElevenLabs,content/ElevenLabs_2026-05-13.md,Published
2026-05-14,Pollo AI,content/pollo_ai_2026-05-14.md,Published
